internal_accession,external_accession,is_brainarray
hgu133plus2,GPL9101,y
hgu133plus2,GPL17810,y
hgu133plus2,GPL14877,y
hgu133plus2,GPL8542,y
hgu133plus2,GPL19109,y
hgu133plus2,GPL11670,y
hgu133plus2,GPL16356,y
hgu133plus2,GPL10371,y
hgu133plus2,GPL22945,y
hgu133plus2,GPL10175,y
hgu133plus2,GPL9486,y
hgu133plus2,GPL23432,y
hgu133plus2,GPL16268,y
hgu133plus2,GPL6879,y
hgu133plus2,GPL5760,y
hgu133plus2,GPL20182,y
hgu133plus2,GPL14837,y
hgu133plus2,GPL15445,y
hgu133plus2,GPL7869,y
hgu133plus2,GPL9324,y
hgu133plus2,GPL8019,y
hgu133plus2,GPL4866,y
hgu133plus2,GPL7567,y
hgu133plus2,GPL6671,y
hgu133plus2,GPL6791,y
hgu133plus2,GPL22321,y
hgu133plus2,GPL17996,y
hgu133plus2,GPL11433,y
hgu133plus2,GPL11084,y
hgu133plus2,GPL16100,y
hgu133plus2,GPL17811,y
hgu133plus2,GPL13695,y
hgu133plus2,GPL9102,y
hgu133plus2,GPL10881,y
hgu133plus2,GPL17929,y
hgu133plus2,GPL6732,y
hgu133plus2,GPL15676,y
hgu133plus2,GPL15394,y
hgu133plus2,GPL9454,y
hgu133plus2,GPL9828,y
hgu133plus2,GPL13232,y
hgu133plus2,GPL9419,y
hgu133plus2,GPL10335,y
hgu133plus2,GPL6823,y
hgu133plus2,GPL16006,y
hgu133plus2,GPL13668,y
hgu133plus2,GPL10274,y
hgu133plus2,GPL18121,y
hgu133plus2,GPL19883,y
hgu133plus2,GPL23270,y
hgu133plus2,GPL9987,y
hgu133plus2,GPL18850,y
hgu133plus2,GPL16372,y
hgu133plus2,GPL11364,y
hgu133plus2,GPL9099,y
hgu133plus2,GPL16066,y
hgu133plus2,GPL8715,y
hgu133plus2,GPL19633,y
hgu133plus2,GPL4454,y
hgu133plus2,GPL17394,y
hgu133plus2,GPL16273,y
hgu133plus2,GPL19918,y
hgu133plus2,GPL19171,y
hgu133plus2,GPL10184,y
hgu133plus2,GPL10925,y
hgu133plus2,GPL24355,y
hgu133plus2,GPL20635,y
hgu133plus2,GPL17392,y
hgu133plus2,A-AFFY-44,y
hgu219,GPL13667,y
hgu219,GPL18189,y
hgu219,GPL15803,y
hgu219,GPL20650,y
hgu219,GPL19100,y
hgu219,GPL21464,y
hgu219,GPL19099,y
hgu219,GPL19211,y
hgu219,GPL24030,y
hgu219,GPL19833,y
hgu95a,GPL91,y
hgu95a,A-AFFY-9,y
hgu95av2,GPL8300,y
hgu95av2,A-AFFY-1,y
hgu95b,GPL92,y
hgu95b,A-AFFY-10,y
hgu95c,GPL93,y
hgu95c,A-AFFY-11,y
hgu95d,GPL94,y
hgu95d,A-AFFY-12,y
hgu95e,GPL95,y
hgu95e,A-AFFY-13,y
hta20,GPL17586,y
hta20,GPL17585,y
hta20,GPL18588,y
hta20,GPL20265,y
hta20,GPL20932,y
hta20,GPL21339,y
hta20,GPL19198,y
hta20,GPL22936,y
hta20,GPL24299,y
hta20,GPL24280,y
hthgu133a,GPL3921,y
hthgu133a,GPL15395,y
hthgu133a,GPL17897,y
hthgu133a,GPL16980,y
hthgu133a,GPL22931,y
hthgu133a,GPL18283,y
hthgu133a,A-AFFY-113,y
hthgu133b,GPL15396,y
hthgu133b,GPL9197,y
hthgu133pluspm,GPL13158,y
hthgu133pluspm,GPL15798,y
hthgu133pluspm,GPL20131,y
hthgu133pluspm,GPL17295,y
hthgu133pluspm,GPL19309,y
hthgu133pluspm,A-AFFY-188,y
htmg430a,GPL8759,y
htmg430b,GPL8760,y
htmg430pm,GPL11180,y
htmg430pm,GPL15125,y
htmg430pm,GPL14178,y
htmg430pm,GPL17226,y
htmg430pm,GPL21382,y
htmg430pm,GPL17198,y
htmg430pm,GPL17326,y
htmg430pm,GPL24664,y
htmg430pm,GPL22408,y
htmg430pm,GPL18098,y
htmg430pm,GPL21720,y
htmg430pm,GPL22412,y
htmg430pm,GPL21983,y
htrat230pm,GPL16985,y
htrat230pm,GPL14783,y
htrat230pm,GPL23846,y
htrat230pm,GPL3240,y
htrat230pm,A-AFFY-180,y
htratfocus,GPL14187,y
hugene10st,GPL6244,y
hugene10st,GPL10739,y
hugene10st,GPL15648,y
hugene10st,GPL13243,y
hugene10st,GPL16522,y
hugene10st,GPL20171,y
hugene10st,GPL19824,y
hugene10st,GPL17047,y
hugene10st,GPL15034,y
hugene10st,GPL17244,y
hugene10st,GPL16987,y
hugene10st,GPL17556,y
hugene10st,GPL15401,y
hugene10st,GPL19832,y
hugene10st,GPL19306,y
hugene10st,GPL18412,y
hugene10st,GPL17737,y
hugene10st,GPL16786,y
hugene10st,GPL10666,y
hugene10st,GPL19145,y
hugene10st,GPL14010,y
hugene10st,GPL11209,y
hugene10st,GPL21503,y
hugene10st,GPL23644,y
hugene10st,GPL23526,y
hugene10st,GPL19433,y
hugene10st,GPL18695,y
hugene10st,GPL16332,y
hugene10st,GPL16239,y
hugene10st,GPL18401,y
hugene10st,GPL19142,y
hugene10st,GPL15424,y
hugene10st,GPL19302,y
hugene10st,GPL10063,y
hugene10st,GPL24532,y
hugene10st,A-AFFY-141,y
hugene10st,A-AFFY-183,y
hugene10st,A-AFFY-187,y
hugene10st,A-MTAB-621,y
hugene11st,GPL11532,y
hugene11st,GPL16977,y
hugene11st,GPL22286,y
hugene11st,GPL18190,y
hugene11st,GPL15640,y
hugene11st,GPL17555,y
hugene11st,GPL20234,y
hugene11st,GPL11536,y
hugene11st,GPL24789,y
hugene11st,GPL20880,y
hugene11st,A-MEXP-2212,y
hugene11st,A-AFFY-168,y
hugene20st,GPL16686,y
hugene20st,GPL17930,y
hugene20st,GPL21970,y
hugene20st,GPL20103,y
hugene20st,GPL19251,y
hugene20st,GPL17889,y
hugene20st,GPL19803,y
hugene20st,GPL23643,y
hugene20st,GPL21563,y
hugene20st,GPL18476,y
hugene21st,GPL17692,y
hugene21st,GPL18964,y
hugene21st,GPL19983,y
hugene21st,GPL22299,y
hugene21st,GPL22067,y
hugene21st,GPL19389,y
hugene21st,GPL19264,y
hugene21st,GPL23961,y
mgu74a,GPL32,y
mgu74a,A-AFFY-3,y
mgu74av2,GPL81,y
mgu74av2,A-AFFY-6,y
mgu74bv2,GPL82,y
mgu74bv2,A-AFFY-7,y
mgu74cv2,GPL83,y
mgu74cv2,A-AFFY-8,y
moe430a,GPL339,y
moe430a,GPL18243,y
moe430a,A-AFFY-23,y
moe430b,GPL340,y
moe430b,A-AFFY-24,y
mogene10st,GPL6246,y
mogene10st,GPL13730,y
mogene10st,GPL10740,y
mogene10st,GPL11204,y
mogene10st,GPL20894,y
mogene10st,GPL10742,y
mogene10st,GPL10528,y
mogene10st,GPL11078,y
mogene10st,GPL17777,y
mogene10st,GPL19485,y
mogene10st,GPL19192,y
mogene10st,GPL19103,y
mogene10st,GPL17940,y
mogene10st,GPL18535,y
mogene10st,GPL15733,y
mogene10st,GPL19972,y
mogene10st,GPL10655,y
mogene10st,GPL19642,y
mogene10st,GPL21869,y
mogene10st,GPL20023,y
mogene10st,GPL17103,y
mogene10st,GPL15912,y
mogene10st,GPL14866,y
mogene10st,GPL20205,y
mogene10st,GPL19317,y
mogene10st,GPL13455,y
mogene10st,GPL17984,y
mogene10st,GPL9525,y
mogene10st,GPL21883,y
mogene10st,GPL21783,y
mogene10st,A-AFFY-130,y
mogene10st,A-AFFY-98,y
mogene11st,GPL11533,y
mogene11st,GPL19143,y
mogene11st,GPL20837,y
mogene11st,GPL11537,y
mogene11st,GPL17153,y
mogene11st,GPL17997,y
mogene11st,GPL19138,y
mogene11st,GPL23319,y
mogene11st,GPL16695,y
mogene20st,GPL16570,y
mogene20st,GPL17791,y
mogene20st,GPL18233,y
mogene20st,GPL18802,y
mogene20st,GPL22598,y
mogene20st,GPL20710,y
mogene20st,GPL17408,y
mogene20st,GPL24557,y
mogene20st,GPL23092,y
mogene21st,GPL17400,y
mogene21st,GPL23232,y
mogene21st,GPL22070,y
mogene21st,GPL21798,y
mogene21st,GPL23016,y
mogene21st,GPL20041,y
mogene21st,GPL19147,y
mogene21st,GPL23972,y
mogene21st,GPL24707,y
mogene21st,GPL24115,y
mouse4302,GPL1261,y
mouse4302,GPL18615,y
mouse4302,GPL19559,y
mouse4302,GPL14996,y
mouse4302,GPL16582,y
mouse4302,GPL14661,y
mouse4302,GPL9746,y
mouse4302,GPL16225,y
mouse4302,GPL23097,y
mouse4302,GPL16368,y
mouse4302,GPL14757,y
mouse4302,GPL20681,y
mouse4302,GPL15967,y
mouse4302,GPL13763,y
mouse4302,GPL18376,y
mouse4302,GPL13502,y
mouse4302,GPL6886,y
mouse4302,GPL14657,y
mouse4302,GPL10773,y
mouse4302,GPL20766,y
mouse4302,GPL18223,y
mouse4302,GPL18854,y
mouse4302,GPL18122,y
mouse4302,GPL21076,y
mouse4302,GPL6526,y
mouse4302,GPL18416,y
mouse4302,GPL18078,y
mouse4302,GPL17114,y
mouse4302,GPL15592,y
mouse4302,GPL15041,y
mouse4302,GPL11044,y
mouse4302,GPL22519,y
mouse4302,GPL8462,y
mouse4302,GPL17109,y
mouse4302,GPL15722,y
mouse4302,GPL9523,y
mouse4302,GPL13621,y
mouse4302,A-AFFY-45,y
mouse430a2,GPL8321,y
mouse430a2,GPL16763,y
mouse430a2,GPL21092,y
mouse430a2,A-AFFY-36,y
mu11ksuba,GPL75,y
mu11ksuba,A-AFFY-14,y
mu11ksubb,GPL76,y
mu11ksubb,A-AFFY-15,y
ovigene10st,GPL20835,y
ovigene11st,GPL19480,y
ovigene11st,A-AFFY-193,y
porcine,GPL3533,y
porcine,A-AFFY-75,y
porgene10st,GPL16493,y
porgene10st,GPL21514,y
porgene10st,GPL22530,y
porgene11st,GPL18699,y
primeview_spikeins,GPL16043,y
primeview,GPL15207,y
primeview,GPL21975,y
primeview,GPL22841,y
primeview,GPL20609,y
primeview,GPL23342,y
primeview,GPL19660,y
rae230a,GPL341,y
rae230a,GPL8627,y
rae230a,GPL14122,y
rae230a,GPL3240,y
rae230a,A-AFFY-25,y
rae230b,GPL342,y
rae230b,A-AFFY-26,y
ragene10st,GPL6247,y
ragene10st,GPL10741,y
ragene10st,GPL17378,y
ragene10st,GPL17896,y
ragene10st,A-AFFY-160,y
ragene11st,GPL11534,y
ragene11st,GPL23181,y
ragene11st,GPL22130,y
ragene20st,GPL17117,y
ragene20st,GPL20091,y
ragene20st,GPL17799,y
ragene20st,GPL23953,y
ragene20st,GPL18676,y
ragene21st,GPL19271,y
ragene21st,GPL23368,y
rat2302,GPL1355,y
rat2302,GPL15933,y
rat2302,GPL9199,y
rat2302,GPL10226,y
rat2302,GPL17780,y
rat2302,GPL18813,y
rat2302,GPL7598,y
rat2302,GPL14123,y
rat2302,GPL22499,y
rat2302,GPL19144,y
rat2302,GPL16251,y
rat2302,A-AFFY-43,y
rgu34a,GPL85,y
rgu34a,A-AFFY-18,y
rgu34b,GPL86,y
rgu34b,A-AFFY-19,y
rgu34c,GPL87,y
rgu34c,A-AFFY-20,y
rhesus,GPL3535,y
rhesus,A-AFFY-145,y
snowballs520824f,GPL16569,y
snowballs520824f,A-AFFY-189,y
u133aaofav2,GPL4685,y
u133aaofav2,A-AFFY-76,y
yeast2,GPL2529,y
yeast2,GPL13150,y
yeast2,A-AFFY-47,y
ygs98,GPL90,y
ygs98,A-AFFY-27,y
zebgene10st,GPL16933,y
zebgene10st,GPL19238,y
zebgene11st,GPL18378,y
zebgene11st,GPL20312,y
zebgene11st,A-AFFY-192,y
zebrafish,GPL1319,y
zebrafish,GPL24541,y
zebrafish,A-AFFY-38,y
ag,GPL71,n
ag,A-AFFY-16,n
aragene10st,GPL17416,n
aragene10st,GPL23011,n
aragene10st,GPL18349,n
aragene11st,GPL17133,n
aragene11st,GPL17134,n
aragene11st,GPL19371,n
aragene11st,GPL22599,n
aragene11st,GPL19358,n
ath1121501,GPL198,n
ath1121501,GPL16112,n
ath1121501,GPL13838,n
ath1121501,GPL18395,n
ath1121501,GPL21063,n
ath1121501,GPL13230,n
ath1121501,GPL8455,n
ath1121501,GPL10050,n
ath1121501,GPL21674,n
ath1121501,GPL10868,n
ath1121501,GPL10948,n
ath1121501,GPL16375,n
ath1121501,A-AFFY-2,n
barley1,GPL1340,n
barley1,A-AFFY-31,n
bsubtilis,GPL343,n
citrus,GPL5731,n
cotton,GPL8672,n
cotton,A-AFFY-181,n
ecoli2,GPL3154,n
ecoli2,A-AFFY-56,n
felgene10st,GPL22817,n
guigene10st,GPL21468,n
guigene10st,GPL21469,n
maize,GPL4032,n
maize,A-AFFY-77,n
medgene10st,GPL18240,n
mta10,GPL20775,n
mta10,GPL20258,n
mta10,GPL20266,n
mta10,GPL21877,n
mta10,GPL21341,n
mta10,GPL23535,n
paeg1a,GPL84,n
paeg1a,A-AFFY-30,n
plasmodiumanopheles,GPL1321,n
plasmodiumanopheles,A-AFFY-102,n
poplar,GPL4359,n
rcngene10st,GPL19566,n
rcngene11st,GPL21360,n
rhegene10st,GPL17015,n
rhegene10st,GPL22745,n
rhegene11st,GPL20695,n
rice,GPL2025,n
rice,GPL18620,n
rice,GPL11322,n
rice,GPL16106,n
rice,A-AFFY-126,n
rta10,GPL22388,n
rta10,GPL23629,n
rusgene10st,GPL21593,n
rusgene11st,GPL22271,n
saureus,GPL1339,n
saureus,A-AFFY-147,n
soybean,GPL4592,n
soybean,A-AFFY-59,n
soygene10st,GPL13674,n
soygene11st,GPL21505,n
soygene11st,GPL21504,n
sugarcane,GPL3844,n
tomato,GPL4741,n
tomato,A-AFFY-87,n
vitisvinifera,GPL1320,n
vitisvinifera,A-AFFY-78,n
wheat,GPL3802,n
wheat,A-AFFY-57,n
xenopuslaevis,GPL1318,n
xenopuslaevis,A-AFFY-62,n
xlaevis2,GPL10756,n
xlaevis2,A-AFFY-163,n
xtropicalis,GPL10263,n
xtropicalis,A-AFFY-154,n
Illumina_Human-6_v1.0,GPL2507,n
Illumina_Human-6_v1.0,GPL6097,n
Illumina_Human-6_v1.0,A-MEXP-691,n
Illumina_Human-6_V2.0,GPL6102,n
Illumina_Human-6_V2.0,GPL6106,n
Illumina_Human-6_V2.0,GPL10295,n
Illumina_Human-6_V2.0,GPL6790,n
Illumina_Human-6_V2.0,GPL6370,n
Illumina_Human-6_V2.0,GPL7363,n
Illumina_Human-6_V2.0,GPL7350,n
Illumina_Human-6_V2.0,GPL7180,n
Illumina_Human-6_V2.0,GPL5799,n
Illumina_Human-6_V2.0,A-MEXP-930,n
Illumina_HumanHT-12_V3.0,GPL6947,n
Illumina_HumanHT-12_V3.0,GPL15389,n
Illumina_HumanHT-12_V3.0,GPL18461,n
Illumina_HumanHT-12_V3.0,GPL16700,n
Illumina_HumanHT-12_V3.0,GPL19915,n
Illumina_HumanHT-12_V3.0,A-MEXP-1171,n
Illumina_HumanHT-12_V4.0,GPL10558,n
Illumina_HumanHT-12_V4.0,GPL10904,n
Illumina_HumanHT-12_V4.0,GPL15988,n
Illumina_HumanHT-12_V4.0,GPL22366,n
Illumina_HumanHT-12_V4.0,GPL23026,n
Illumina_HumanHT-12_V4.0,A-MEXP-2072,n
Illumina_HumanHT-12_V4.0,A-MEXP-2210,n
Illumina_HumanRef-8_v1.0,GPL6098,n
Illumina_HumanRef-8_v1.0,A-MEXP-525,n
Illumina_HumanRef-8_v2.0,GPL6104,n
Illumina_HumanRef-8_v2.0,GPL6255,n
Illumina_HumanRef-8_v2.0,GPL5104,n
Illumina_HumanRef-8_v2.0,GPL14186,n
Illumina_HumanRef-8_v2.0,GPL5060,n
Illumina_HumanRef-8_v2.0,GPL6014,n
Illumina_HumanRef-8_v2.0,GPL11123,n
Illumina_HumanRef-8_v2.0,A-MEXP-931,n
Illumina_HumanRef-8_v3.0,GPL6883,n
Illumina_HumanRef-8_v3.0,GPL18405,n
Illumina_HumanRef-8_v3.0,GPL16221,n
Illumina_HumanRef-8_v3.0,A-MEXP-1172,n
Illumina_HumanWG-6_V3.0,GPL6884,n
Illumina_HumanWG-6_V3.0,GPL11009,n
Illumina_HumanWG-6_V3.0,GPL18387,n
Illumina_HumanWG-6_V3.0,A-MEXP-1173,n
Illumina_HumanWG-6_V3.0,A-MEXP-1844,n
Illumina_HumanWG-6_V3.0,A-MEXP-2271,n
Illumina_Mouse-6_V1.0,GPL4234,n
Illumina_Mouse-6_V1.0,GPL6333,n
Illumina_Mouse-6_V1.0,GPL6099,n
Illumina_Mouse-6_V1.0,GPL4055,n
Illumina_Mouse-6_V1.0,GPL8237,n
Illumina_Mouse-6_V1.0,GPL10242,n
Illumina_Mouse-6_V1.0,GPL17755,n
Illumina_Mouse-6_V1.0,GPL5402,n
Illumina_Mouse-6_V1.0,GPL6731,n
Illumina_Mouse-6_V1.0,GPL5943,n
Illumina_Mouse-6_V1.0,GPL14589,n
Illumina_Mouse-6_V1.0,GPL5798,n
Illumina_Mouse-6_V1.0,A-MEXP-533,n
Illumina_Mouse-6_v1.1,GPL6105,n
Illumina_Mouse-6_v1.1,GPL6481,n
Illumina_Mouse-6_v1.1,GPL6238,n
Illumina_Mouse-6_v1.1,GPL6568,n
Illumina_Mouse-6_v1.1,GPL8081,n
Illumina_Mouse-6_v1.1,GPL7215,n
Illumina_Mouse-6_v1.1,GPL18108,n
Illumina_Mouse-6_v1.1,GPL15943,n
Illumina_Mouse-6_v1.1,A-MEXP-933,n
Illumina_MouseRef-8_V1.0,GPL6422,n
Illumina_MouseRef-8_V1.0,GPL8389,n
Illumina_MouseRef-8_V1.0,GPL4865,n
Illumina_MouseRef-8_V1.0,GPL6100,n
Illumina_MouseRef-8_V1.0,GPL6753,n
Illumina_MouseRef-8_V1.0,GPL9974,n
Illumina_MouseRef-8_V1.0,A-MEXP-527,n
Illumina_MouseRef-8_V1.1,GPL6103,n
Illumina_MouseRef-8_V1.1,GPL7868,n
Illumina_MouseRef-8_V1.1,GPL8540,n
Illumina_MouseRef-8_V1.1,A-MEXP-932,n
Illumina_MouseRef-8_v2.0,GPL6885,n
Illumina_MouseRef-8_v2.0,GPL19575,n
Illumina_MouseRef-8_v2.0,GPL15097,n
Illumina_MouseRef-8_v2.0,GPL11033,n
Illumina_MouseRef-8_v2.0,GPL19462,n
Illumina_MouseRef-8_v2.0,GPL19441,n
Illumina_MouseRef-8_v2.0,GPL18965,n
Illumina_MouseRef-8_v2.0,GPL10296,n
Illumina_MouseRef-8_v2.0,A-MEXP-1174,n
Illumina_MouseWG-6_v2.0,GPL6887,n
Illumina_MouseWG-6_v2.0,GPL17543,n
Illumina_MouseWG-6_v2.0,GPL19250,n
Illumina_MouseWG-6_v2.0,GPL18752,n
Illumina_MouseWG-6_v2.0,GPL22165,n
Illumina_MouseWG-6_v2.0,GPL11017,n
Illumina_MouseWG-6_v2.0,GPL21581,n
Illumina_MouseWG-6_v2.0,GPL6880,n
Illumina_MouseWG-6_v2.0,GPL13302,n
Illumina_MouseWG-6_v2.0,GPL13824,n
Illumina_MouseWG-6_v2.0,GPL19738,n
Illumina_MouseWG-6_v2.0,GPL10951,n
Illumina_MouseWG-6_v2.0,GPL19625,n
Illumina_MouseWG-6_v2.0,GPL14828,n
Illumina_MouseWG-6_v2.0,GPL13405,n
Illumina_MouseWG-6_v2.0,GPL9526,n
Illumina_MouseWG-6_v2.0,GPL15625,n
Illumina_MouseWG-6_v2.0,GPL17473,n
Illumina_MouseWG-6_v2.0,GPL21278,n
Illumina_MouseWG-6_v2.0,A-MEXP-1175,n
Illumina_RatRef-12_V1.0,GPL6101,n
Illumina_RatRef-12_V1.0,GPL17223,n
Illumina_RatRef-12_V1.0,GPL8031,n
Illumina_RatRef-12_V1.0,GPL10239,n
Illumina_RatRef-12_V1.0,GPL8649,n
Illumina_RatRef-12_V1.0,A-MEXP-1278,n
