probe_id	ensembl_id
GI_10047093-S	ENSG00000187522
GI_10092638-S	ENSG00000150938
GI_10257436-S	ENSG00000167614
GI_10337584-S	ENSG00000164816
GI_10518496-S	ENSG00000198719
GI_10800418-S	ENSG00000100604
GI_10801344-S	ENSG00000178982
GI_10835186-S	ENSG00000112096
GI_10863974-S	ENSG00000152254
GI_10864032-S	ENSG00000240053
GI_10864048-S	ENSG00000139146
GI_10864054-S
GI_10880124-S	ENSG00000130561
GI_10880978-S	ENSG00000130592
GI_10947030-S	ENSG00000103512
GI_10947134-S	ENSG00000204574
GI_11024640-S
GI_11038658-A	ENSG00000087116
GI_11056055-I	ENSG00000128626
GI_11079227-S	ENSG00000073969
GI_11095446-S	ENSG00000237541
GI_11140814-S	ENSG00000160282
GI_11231178-A	ENSG00000167613
GI_11386142-S	ENSG00000167711
GI_11386174-A	ENSG00000204619
GI_11497606-S	ENSG00000104755
GI_11497611-A	ENSG00000204681
GI_11497611-I	ENSG00000204681
GI_11545816-S	ENSG00000213654
GI_11545866-S	ENSG00000154252
GI_11863157-S	ENSG00000204227
GI_12056464-S	ENSG00000105202
GI_12056483-S	ENSG00000186448
GI_12056974-S	ENSG00000212710
GI_12232454-S	ENSG00000103227
GI_12383073-S	ENSG00000149016
GI_12408641-S	ENSG00000204256
GI_12545379-S	ENSG00000070031
GI_12545386-S	ENSG00000100884
GI_12621917-S	ENSG00000164822
GI_12738833-S	ENSG00000120952
GI_12751492-S	ENSG00000104524
GI_12965171-S	ENSG00000121381
GI_12965173-S	ENSG00000121314
GI_12965175-S	ENSG00000121377
GI_12965177-S
GI_12965179-S
GI_12965181-S
GI_13027795-S	ENSG00000099953
GI_13124878-A	ENSG00000133392
GI_13124884-S	ENSG00000164825
GI_13124885-S	ENSG00000177257
GI_13129061-S	ENSG00000170892
GI_13129067-S	ENSG00000184967
GI_13129101-S	ENSG00000164008
GI_13236578-S	ENSG00000143554
GI_13259538-S	ENSG00000175806
GI_13324689-S	ENSG00000244482
GI_13375689-S	ENSG00000262246
GI_13375792-S	ENSG00000147316
GI_13375814-S	ENSG00000173281
GI_13375833-S	ENSG00000114529
GI_13376104-S	ENSG00000133962
GI_13376244-S	ENSG00000278311
GI_13376338-S	ENSG00000129951
GI_13376368-S	ENSG00000137343
GI_13376724-S	ENSG00000119242
GI_13376867-A	ENSG00000204385
GI_13376873-S	ENSG00000204421
GI_13376875-S	ENSG00000204428
GI_13376877-S	ENSG00000204576
GI_13377000-S	ENSG00000163254
